Unnamed: 0_level_0,[112],[21110],[2218],[2316],[2414],[2512],[26],[3119],[312117],[312215],[312313],[312411],[3216],[322114],[322212],[3223],[3313],[332111],[34],[4118],[412116],[412214],[412312],[4124],[413115],[41312113],[41312211],[413212],[413221],[4214],[422112],[4222],[423111],[43],[5117],[512115],[512213],[512311],[513114],[51312112],[513122],[513211],[514113],[51412111],[514131],[5212],[5221],[6116],[612114],[612212],[6123],[613113],[61312111],[6132],[614112],[614121],[615111],[62],[7115],[712113],[712211],[713112],[713121],[714111],[7151],[8114],[812112],[8122],[813111],[8141],[9113],[912111],[9131],[10112],[10121],[11111],[121]
s[413221],2970,-90,34,6,-6,-10,-30,-216,-6,4,6,0,9,-3,1,-3,0,0,0,34,-14,-6,2,2,4,-2,0,1,1,6,2,-2,0,6,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-9,3,-1,3,0,0,0,-1,-1,1,0,-5,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[413212],4158,-252,14,-12,-18,20,30,-189,21,11,-3,3,-9,-3,-1,-3,0,0,0,28,-10,4,-2,-4,1,-1,1,1,-1,2,0,2,-1,0,28,-2,4,-2,1,1,1,1,-2,0,1,-2,-2,-9,-3,-1,-3,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[41312211],5775,-525,35,15,7,-5,-5,-210,0,-10,0,-2,15,3,-1,3,-3,-3,6,105,5,-3,1,1,0,2,0,3,-1,-5,-1,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,1,1,1,-3,1,0,1,1,0,-2,0,0,0,0,0,0,0,3,-1,-1,0,1,0,0,0,0,0,0,0
s[41312113],5632,-768,0,0,0,0,0,64,48,0,0,0,-32,0,0,0,-2,6,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,4,-2,0,-2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,-1,0,-1,0,0,0,0,0,-2,0,1,0,0,0,0
s[413115],2079,-441,7,15,15,-9,-9,189,21,-11,-3,-3,-18,6,-2,6,0,0,0,-77,-5,-5,3,3,1,1,1,-2,-2,7,-1,-1,1,3,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,1,0,0
s[4124],1485,-225,29,15,-3,15,45,-27,-15,-7,-3,-3,18,6,2,6,0,0,0,55,5,-1,-3,-9,-5,-1,-1,-2,2,1,3,1,1,3,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,-1,0,0,0,0,0,0,0
s[412312],3080,-560,56,24,-24,0,-40,56,-14,-4,6,0,11,1,-1,-3,2,-2,2,56,4,0,4,8,-4,-2,0,-1,1,0,0,0,0,0,-35,-5,1,-1,1,1,1,1,1,-1,1,0,0,9,3,-3,-1,0,0,0,1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0
s[412214],2376,-576,56,24,-24,16,24,216,-6,-4,6,0,-9,-3,-1,-3,0,0,0,-56,-4,0,-4,-8,4,2,0,1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,9,3,1,3,0,0,0,-1,1,-1,0,-4,-2,0,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,0
s[412116],945,-315,49,21,-15,5,-15,189,-21,-11,3,-3,9,3,1,3,0,0,0,-91,1,5,1,5,-1,1,-1,-1,1,1,-3,1,1,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-9,-3,-1,-3,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,0
s[4118],165,-75,21,5,-11,5,5,57,-15,-3,5,1,12,0,0,-4,3,-3,3,-35,5,5,-3,-3,-5,-1,-1,-2,2,1,1,1,1,1,20,0,-4,0,2,0,2,2,0,0,0,0,0,-10,-2,2,2,-1,1,-1,0,0,0,-1,4,2,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1
s[34],462,-42,14,-2,-2,-10,30,-42,0,2,4,-2,3,-3,-1,1,3,3,12,14,-6,-2,2,-2,2,0,-2,-1,-3,2,2,2,2,-6,7,3,-1,3,-2,0,2,-2,-1,-1,2,2,-2,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[332111],2112,-288,64,-16,0,0,0,-120,6,4,2,0,6,-6,-2,2,6,0,-12,64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,7,7,-1,-1,-5,1,-1,1,-1,-1,-1,2,2,-16,0,0,0,2,0,2,0,0,-1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[3313],1650,-300,50,-20,2,20,-30,-15,15,5,-5,-7,-15,-3,5,1,3,-3,12,20,-10,4,-2,4,5,-1,1,-1,-1,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,5,1,1,-1,1,-1,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[3223],1320,-240,56,-8,8,0,-40,-48,-6,-4,-2,8,15,3,-1,-5,-3,3,6,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,-5,-1,3,-1,1,-1,-2,-1,-1,0,2,4,-2,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
