Unnamed: 0_level_0,[113],[21111],[2219],[2317],[2415],[2513],[2611],[31110],[312118],[312216],[312314],[312412],[3125],[3217],[322115],[322213],[322311],[3314],[332112],[3322],[3411],[4119],[412117],[412215],[412313],[412411],[413116],[41312114],[41312212],[413123],[413213],[41322111],[4133],[4215],[422113],[422211],[423112],[423121],[4311],[5118],[512116],[512214],[512312],[5124],[513115],[51312113],[51312211],[513212],[513221],[514114],[51412112],[514122],[51413111],[5142],[5213],[522111],[5231],[6117],[612115],[612213],[612311],[613114],[61312112],[613122],[613211],[614113],[61412111],[614131],[615112],[615121],[6211],[7116],[712114],[712212],[7123],[713113],[71312111],[7132],[714112],[714121],[715111],[7161],[8115],[812113],[812211],[813112],[813121],[814111],[8151],[9114],[912112],[9122],[913111],[9141],[10113],[1012111],[10131],[11112],[11121],[12111],[131]
s[51412112],21450,550,-190,-90,10,-10,-30,-450,70,-10,6,-2,-10,15,-5,-1,3,3,1,-1,0,-190,50,10,2,2,-10,2,-2,2,-1,-1,-1,-10,2,-2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,-5,-3,-1,1,-2,0,1,-1,1,0,1,0,0,0,0,0,0,0,3,1,-1,0,-1,0,0,0,0,0,0,0
s[514114],9009,-231,-231,-63,33,9,9,189,105,-3,9,-3,9,0,0,0,0,18,-6,-6,0,-147,21,-11,-3,-3,-15,-3,1,-3,0,0,6,9,1,1,-3,1,-3,-21,9,-1,-3,3,-6,0,2,0,0,3,1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0
s[513221],11583,297,27,45,-9,-15,-45,-567,-63,9,9,9,-15,0,0,0,0,0,0,0,0,27,-15,-17,-3,3,9,-3,1,-3,0,0,0,7,1,3,1,1,3,78,12,2,0,6,3,-3,-1,0,0,2,0,-2,-1,2,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,1,0,-5,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[513212],16016,0,-112,0,-48,0,80,-448,0,32,0,0,0,-28,0,-4,0,-4,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,8,0,-8,2,0,2,2,0,0,0,0,0,0,-4,0,2,0,-12,0,-4,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[51312211],21450,-550,-190,90,10,10,-30,-450,-70,-10,-6,-2,10,15,5,-1,-3,3,-1,-1,0,190,50,-10,2,-2,10,2,2,2,1,-1,1,-10,-2,-2,2,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,0,-5,3,-1,-1,-2,0,1,1,1,0,-1,0,0,0,0,0,0,0,3,-1,-1,0,1,0,0,0,0,0,0,0
s[51312113],20592,-1320,-384,48,-16,8,0,324,84,24,0,-4,-4,-36,-6,0,6,-9,3,3,0,-48,20,-8,4,0,-6,2,-2,-2,0,2,-3,0,0,0,0,0,0,-28,-10,-4,-2,4,-1,-1,-1,-1,-1,2,0,2,-1,0,2,0,-1,6,-4,2,0,3,-1,-1,0,-2,0,1,1,1,0,5,3,1,-1,2,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0
s[513115],7371,-945,-189,63,27,15,-45,567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,-189,-21,-13,3,3,-9,3,-1,3,0,0,0,11,-1,3,-1,-1,3,21,15,1,3,-3,-3,3,1,0,0,1,-1,-3,1,1,-4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0
s[5124],5005,-385,-35,63,-3,15,45,-35,-49,-11,-9,-3,15,28,8,4,0,10,2,10,-8,119,21,-1,-3,-9,-1,-3,-1,-3,-4,0,2,1,3,1,1,3,3,-35,-5,5,3,-3,-5,1,-1,-2,-2,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,-1,0,0,0,0,0,0,0
s[512312],10296,-1056,-120,120,-40,-16,-24,216,-48,0,0,8,-16,27,-3,3,-3,9,-3,-3,0,120,20,0,4,8,0,-4,0,4,-3,-1,3,0,0,0,0,0,0,-64,-16,0,0,0,-4,2,0,2,2,0,0,0,0,0,1,-1,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0
s[512214],7800,-1200,-120,120,-40,0,40,600,0,0,0,8,0,15,-15,3,-3,-3,-3,-3,6,-120,-20,0,-4,-8,0,4,0,-4,3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,1,3,-1,3,0,-1,1,-1,0,0,-2,-5,-3,-1,1,-2,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
